等级,称号,XP 下限,XP 上限,解锁,必备轨道,证据,复盘周期
Lv.1,记录员,0,499,开始记录：日报、体重、任务、自动化统一入账。,日报 / 待办,有页面、有记录、有产物,每日
Lv.2,执行员,500,1199,解锁每日待办 XP，任务完成进入日历。,日报 / 待办,有页面、有记录、有产物,每日
Lv.3,自动化主管,1200,2399,解锁每日日报任务评分和失败复盘。,日报 / 自动化 / OKR,有页面、有记录、有产物,每日
Lv.4,OKR 调度官,2400,4199,解锁公司 OKR / 个人 OKR 周期看板。,日报 / 自动化 / OKR,有周复盘、有任务闭环、有数据表,每日
Lv.5,经营参谋,4200,6599,解锁经营日报 1/2/3/4 汇总和董事长决策题。,日报 / 自动化 / OKR,有周复盘、有任务闭环、有数据表,每周
Lv.6,增长指挥官,6600,9599,解锁客户类目、转化类目和机会雷达联动。,OKR / 业务类目 / 体重,有周复盘、有任务闭环、有数据表,每周
Lv.7,系统司令,9600,13199,解锁角色积分、奖励池和治理均分。,OKR / 业务类目 / 体重,有周复盘、有任务闭环、有数据表,每周
Lv.8,公司操作系统架构师,13200,17999,解锁跨月日历、体重里程碑和复盘模板。,OKR / 业务类目 / 体重,有跨月趋势、有人工权重调整、有年度总账,每周
Lv.9,复利经营者,18000,23999,解锁长期趋势：OKR、体重、客户、自动化连续性。,年度目标 / 自运行 / 长期趋势,有跨月趋势、有人工权重调整、有年度总账,每月 / 每季度
Lv.10,总控台大师,24000,31999,解锁人工规则优化：每周复盘后改积分权重。,年度目标 / 自运行 / 长期趋势,有跨月趋势、有人工权重调整、有年度总账,每月 / 每季度
Lv.11,自运行公司,32000,41999,解锁低人工巡检：自动化异常优先推送。,年度目标 / 自运行 / 长期趋势,有跨月趋势、有人工权重调整、有年度总账,每月 / 每季度
Lv.12,长期主义司令部,42000,∞,解锁年度总账：公司目标、身体目标、个人目标统一回看。,年度目标 / 自运行 / 长期趋势,有跨月趋势、有人工权重调整、有年度总账,每月 / 每季度
