页面ID,页面,层级/模式,用途,数据来源,阅读方式,验收标准,详细入口
dashboard,当天总看板,简报入口,给当天只看 3 分钟的人使用：左上等级、右上待办、下方 6 个每日 cron 日报，再把所有详细页分流出去。,growthSystem、dailyReports、todoItems、dailyTasks、health、modules、automations。,先看 P0/P1 待办，再看六个每日 cron 是否齐，再进入数据表格或体系详图查看底层口径。,第一屏必须不空；六个每日 cron 必须顺序固定；每日任务必须按 00:00、06:30、07:00、17:00、19:00、22:30 展示。,reports/2026-07-17/system-detail/index.html
cron,自动化登记簿,配置台账,记录 Codex app 全部 cron / heartbeat：每日任务、专项主控、一次性线程唤醒都在这里入账。,~/.codex/automations/*/automation.toml + 每个自动化本地产物目录。,每日任务进入每日日报；24 小时专项进入业务类目；一次性只作为台账登记，按需被日报引用。,每条自动化必须显示状态、角色、频率、收录方式、产物数、积分、来源和关联页面。,reports/2026-07-17/data-tables/index.html#automation-ledger
categories,业务类目,专项成果入口,承载苏州、山西、陶瓷膜、竞品、政策、招投标、专家资源等业务类目，避免它们被误当成每日报告。,自动化工厂各业务目录的 24小时主控、手动 goal、主目录成果。,类目页看阶段成果，报告批阅页看具体 Markdown/CSV/HTML/JSON 证据。,类目必须能说明产物归属、当前状态、关键报告和缺口；待归档类目必须显式保留位。,reports/2026-07-17/data-tables/index.html#module-ledger
daily-report,日报收录,每日总账,把 6 条每日日报任务和业务类目关键产物收进同一个日报体系。,dailyTasks、buildDailyReports、自动化 topArtifacts、业务类目 topArtifacts。,先看 6 条每日任务归类，再看 1 到 6 的日报汇总，最后看今日关键汇报和收录规则。,A 股、Hermes、双创、Linux、总经理、曹博士必须是每日任务；苏州、山西、陶瓷膜等只能是业务类目引用对象。,reports/2026-07-17/system-detail/index.html#daily-report-detail
verification,验收报告,交卷证据,把当天最终页、详情页、链接、内容覆盖、移动端和截图证据集中成一个可批阅页面。,验证脚本、system-tables、响应式截图目录、核心页面和固定自动化详情页。,先看总结果，再看覆盖矩阵、验证命令、截图清单和人工复核项；失败项必须回到生成器修复。,最终日报必须覆盖固定自动化、本地 Codex 项目、公司管理、体重管理、等级 XP 和批阅链接；核心验证脚本必须可重复运行。,reports/2026-07-17/verification/index.html
roles,等级体系,规则后台,承载总等级、角色职责、XP 入账、奖励解锁、体重里程碑、后台权重和自评门槛。,levelDefs、xpRules、rewardDefs、weightMilestones、trackDefs、xpAllocationDefs、roleDefs。,先看总等级和六条成长轨道，再看等级阶梯、奖励、XP 事件、扣分和复盘规则。,每个 XP 来源必须有证据；奖励必须是权限或复盘能力，不做空洞游戏化装饰。,reports/2026-07-17/system-detail/index.html#level-detail
calendar,日历追踪,按日账本,把 OKR、公司待办、个人待办、体重训练、自动化、日报按天归档。,健康 CSV、当日日报、ACTIVE 自动化、成长轨道。,有内容日期可点击；体重记录和自动化/日报状态都在日历上形成连续性。,不能只做日期归档；必须能说明每天哪些轨道入账、哪些轨道缺失。,reports/2026-07-17/system-detail/index.html#calendar-detail
help,后台说明,规则与数据后台,集中保存最终页不该出现的体系规划、数据表、页面口径、执行说明、自动化配置和脱敏证据入口。,系统定义、数据表、Codex 自动化配置、运行记录、用户需求台账和自评指标。,需要改规则、查配置、看证据、排查链接时进入；日常验收优先看总看板、日报、自动化简报和角色页。,Help 可以出现配置、会话状态、memory、页面说明和验收口径；最终页不展示这些后台语言。,reports/2026-07-17/help/index.html
data-tables,数据表格,底层数据页,专门用表格记录自动化、每日任务、类目、日报、等级、XP、奖励、健康、页面说明等数据。,本生成器构造的 systemTables，同时导出到 data/tables/*.csv 和 data/system-tables.json。,需要改规则时先看表；需要追踪数据时看 CSV；需要确认页面口径时看页面说明表。,每个主数据域必须有可读表格和可下载 CSV，不只依赖页面卡片。,reports/2026-07-17/system-detail/index.html#data-detail
system-detail,体系详图,详细页面,像总经理助理专属页一样，把体系架构、规则、数据表、等级、日报、自动化、验收全部展开。,所有核心定义和当日采集结果。,先读 3 分钟简报，再按章节进入数据表、等级、日报、页面说明和验收清单。,详细页必须比简报页更厚，能作为后续手动修改规则的依据。,reports/2026-07-17/system-detail/index.html
